Movie_Name,Contributors,Budget,Revenue
Piranha 3DD,"['John Gulager', 'Danielle Panabaker', 'Matt Bush', 'David Koechner', 'Chris Zylka', 'Katrina Bowden', 'Gary Busey', 'Christopher Lloyd', 'David Hasselhoff']",5,8493728
Dredd,"['Pete Travis', 'Karl Urban', 'Olivia Thirlby', 'Wood Harris', 'Lena Headey']",45,41
The Vow,"['Michael Sucsy', 'Channing Tatum', 'Rachel McAdams', 'Sam Neill', 'Scott Speedman', 'Jessica McNamee', 'Wendy Crewson', 'Jessica Lange']",30,196114570
The Pirates! In an Adventure with Scientists,"['Peter Lord', 'Gideon Defoe', '[1]', 'Hugh Grant', 'Martin Freeman', 'Imelda Staunton', 'David Tennant', 'Jeremy Piven', 'Salma Hayek', 'Lenny Henry', 'Brian Blessed']",55,123054041
Cowgirls n' Angels,[],0,0
Holy Motors,"['Leos Carax', 'Denis Lavant', 'dith Scob']",4000000,1912860
Act of Valor,"['Mike McCoy', 'Scott Waugh', 'Roselyn Snchez', 'Nestor Serrano', 'Emilio Rivera']",12,81272766
Nativity 2: Danger in the Manger,"['Debbie Isitt', 'David Tennant', 'Jessica Hynes', 'Marc Wootton', 'Pam Ferris', 'Ian McNeice', 'Joanna Page']","Budget3,000,000","Box office10,119,219"
Total Recall,"['Len Wiseman', 'Colin Farrell', 'Kate Beckinsale', 'Jessica Biel']",125,198.5
Jab Tak Hai Jaan,"['Yash Chopra', 'Shahrukh Khan', 'Katrina Kaif', 'Anushka Sharma']",9.7),34)
Stuck in Love,"['Josh Boone', 'Jennifer Connelly', 'Greg Kinnear', 'Lily Collins', 'Nat Wolff', 'Logan Lerman', 'Kristen Bell', 'Liana Liberato']",0,977671
The Amazing Spider-Man,"['Marc Webb', 'Andrew Garfield', 'Emma Stone', 'Rhys Ifans', 'Denis Leary', 'Campbell Scott', 'Irrfan Khan', 'Martin Sheen', 'Sally Field']",230,757.9
Won't Back Down,"['Daniel Barnz', 'Maggie Gyllenhaal', 'Viola Davis', 'Holly Hunter', 'Oscar Isaac', 'Rosie Perez', 'Ving Rhames', 'Marianne Jean-Baptiste']",19,5249881
Les Misrables,"['Tom Hooper', 'Hugh Jackman', 'Russell Crowe', 'Anne Hathaway', 'Amanda Seyfried']",61,441.8
Safe,"['Boaz Yakin', 'Jason Statham', 'Chris Sarandon', 'Robert John Burke', 'James Hong']",33,40346186
Lawless,"['John Hillcoat', 'Shia LaBeouf', 'Tom Hardy', 'Gary Oldman', 'Mia Wasikowska', 'Jessica Chastain', 'Jason Clarke', 'Guy Pearce']",26,53676580
The Invisible War,"['Kirby Dick', 'Kirby Dick']",0,71968
