Movie_Name,Contributors,Budget,Revenue
Kit Kittredge: An American Girl,"['Patricia Rozema', 'Ann Peacock', 'Abigail Breslin', ""Chris O'Donnell"", 'Julia Ormond', 'Max Thieriot', 'Jane Krakowski', 'Wallace Shawn', 'Glenne Headly', 'Joan Cusack', 'Stanley Tucci']",10,17657973
Get Smart,"['Peter Segal', 'Steve Carell', 'Anne Hathaway', 'Dwayne Johnson', 'Alan Arkin', 'Terrence Stamp', 'Terry Crews', 'David Koechner', 'James Caan']",80,264370531
Blindness,"['Fernando Meirelles', 'Julianne Moore', 'Mark Ruffalo', 'Gael Garca Bernal', 'Danny Glover', 'Yoshino Kimura', 'Alice Braga']",25,19.6
The House Bunny,"['Fred Wolf', 'Karen McCullah Lutz', 'Kirsten Smith', 'Anna Faris', 'Colin Hanks', 'Emma Stone', 'Kat Dennings', 'Katharine McPhee', 'Tyson Ritter']",25,70442940
Run Fatboy Run,[],0,0
You Don't Mess with the Zohan,"['Dennis Dugan', 'Judd Apatow', 'John Turturro', 'Emmanuelle Chriqui', 'Nick Swardson', 'Lainie Kazan', 'Rob Schneider', 'Ido Mosseri']",90,201802891
Bolt,"['Chris Williams', 'Byron Howard', 'John Travolta', 'Susie Essman', 'Mark Walton', 'Miley Cyrus']",150,310
Gran Torino,['Clint Eastwood'],33,269958228
Passengers,"['Rodrigo Garca', 'Anne Hathaway', 'Patrick Wilson', 'Clea DuVall', 'Andre Braugher', 'Chelah Horsdal', 'David Morse', 'Dianne Wiest']",25,5494715
One Missed Call,"['Shannyn Sossamon', 'Edward Burns', 'Ana Claudia Talancn', 'Ray Wise', 'Azura Skye']",20,45847751
Adulthood,"['Noel Clarke', 'Noel Clarke', 'Noel Clarke', 'Scarlett Alice Johnson', 'Adam Deacon', 'Jacob Anderson', 'Femi Oyeniran', 'Ben Drew', 'Nathan Constance', 'Danny Dyer']",0,"Box office3,347,811"
Zack and Miri Make a Porno,"['Kevin Smith', 'Seth Rogen', 'Elizabeth Banks', 'Craig Robinson', 'Jason Mewes', 'Traci Lords']",24,42105111
Towelhead,"['Alan Ball', 'Aaron Eckhart', 'Toni Collette', 'Maria Bello', 'Peter MacDissi', 'Summer Bishil']",0,675662
Shutter,[],0,0
Star Wars: The Clone Wars,"['Dave Filoni', 'Henry Gilroy', 'Scott Murphy', 'Matt Lanter', 'Ashley Eckstein', 'James Arnold Taylor', 'Dee Bradley Baker', 'Christopher Lee', 'Samuel L. Jackson', 'Anthony Daniels']",8.5,68284844
Mirrors,[],0,0
The Tale of Despereaux,"['Sam Fell', 'Robert Stevenhagen', 'Matthew Broderick', 'Emma Watson', 'Robbie Coltrane', 'Frances Conroy', 'Tony Hale', 'Ciarn Hinds', 'Dustin Hoffman', 'Richard Jenkins', 'Kevin Kline', 'Frank Langella', 'Christopher Lloyd', 'William H. Macy', 'Tracey Ullman']",60,86947965
Soul Men,"['Malcolm D. Lee', 'Samuel L. Jackson', 'Bernie Mac', 'Sharon Leal', 'Sean Hayes', 'Jennifer Coolidge', 'Adam Herschman', 'Affion Crockett', 'Mike Epps', 'Isaac Hayes', 'John Legend', 'Vanessa del Rio']",40,12082391 
Hannah Montana & Miley Cyrus: Best of Both Worlds Concert,"['Miley Cyrus', 'Jonas Brothers', 'Kenny Ortega', 'Billy Ray Cyrus']",7,70.6
The Happening,"['M. Night Shyamalan', 'Mark Wahlberg', 'Zooey Deschanel', 'John Leguizamo', 'Betty Buckley']",48,163403799
Eagle Eye,"['D. J. Caruso', 'Shia LaBeouf', 'Michelle Monaghan', 'Rosario Dawson', 'Michael Chiklis', 'Anthony Mackie', 'Billy Bob Thornton']",80,178966569 (worldwide)
Wanted,"['Timur Bekmambetov', 'James McAvoy', 'Morgan Freeman', 'Terence Stamp', 'Thomas Kretschmann', 'Common', 'Angelina Jolie']",75,341433252
