year,Movie_Name,Budget,Contributors,Revenue
1990,Hard to Kill,10,"['Bruce Malmuth', 'Steven Seagal', 'Kelly LeBrock', 'Frederick Coffin', 'Branscombe Richmond', 'William Sadler']",48915430 (International)
1990,Bad Influence,7,"['Curtis Hanson', 'David Koepp', 'Rob Lowe', 'James Spader']",12626043
1990,Child's Play 2,13,"['John Lafia', 'Don Mancini', 'Alex Vincent', 'Jenny Agutter', 'Gerrit Graham', 'Christine Elise', 'Grace Zabriskie', 'Brad Dourif', 'Beth Grant']",35763605
1990,House Party,2.5,"['Reginald Hudlin', 'Christopher ""Kid"" Reid', 'Robin Harris', 'Christopher ""Play"" Martin']",26385627
1990,Dances with Wolves,22,"['Kevin Costner', 'Mary McDonnell', 'Graham Greene', 'Rodney A. Grant']",424208848
1990,Class of 1999,5200000,"['Mark L. Lester', 'C. Courtney Joyner', 'Bradley Gregg', 'Bradley Gregg', 'Traci Lind', 'Malcolm McDowell', 'Stacy Keach', 'Patrick Kilpatrick', 'Pam Grier', 'John P. Ryan', 'Darren E. Burrows', 'Joshua John Miller']",2459895 (domestic) 
1990,Teenage Mutant Ninja Turtles,13.5,"['Steve Barron', 'Judith Hoag', 'Elias Koteas', 'Brian Tochi', 'Robbie Rist', 'Corey Feldman', 'Josh Pais', 'Raymond Serra']",201965915
1990,Joe Versus the Volcano,25,"['John Patrick Shanley', 'Tom Hanks', 'Meg Ryan']",39404261
1990,Pacific Heights,18,"['John Schlesinger', 'Melanie Griffith', 'Matthew Modine', 'Michael Keaton', 'Laurie Metcalf', 'Mako', 'Carl Lumbly', 'Dorian Harewood']",44926706
1990,Revenge,20,"['Tony Scott', 'Jim Harrison', 'Kevin Costner', 'Anthony Quinn', 'Madeleine Stowe', 'Miguel Ferrer', 'John Leguizamo']",15535771 (US)
1990,Crazy People,18,"['Tony Bill', 'Barry L. Young', 'Mitch Markowitz', 'Dudley Moore', 'Daryl Hannah', 'Paul Reiser', 'J. T. Walsh', 'Danton Stone']",13236513
1990,Cry-Baby,12,"['John Waters', 'Johnny Depp', 'Amy Locane', 'Polly Bergen', 'Susan Tyrrell', 'Iggy Pop', 'Ricki Lake', 'Traci Lords']",8266343
1990,Edward Scissorhands,20,"['Tim Burton', 'Johnny Depp', 'Winona Ryder', 'Dianne Wiest', 'Anthony Michael Hall', 'Kathy Baker', 'Vincent Price', 'Alan Arkin']",86024005
1990,Q&A,6000000,"['Sidney Lumet', 'Sidney Lumet', 'Edwin Torres', 'Nick Nolte', 'Timothy Hutton', 'Armand Assante', 'Luis Guzmn']",11207891
1990,Ghost,22,"['Jerry Zucker', 'Bruce Joel Rubin', 'Patrick Swayze', 'Demi Moore', 'Whoopi Goldberg', 'Tony Goldwyn']",505702588
1990,Catchfire,10,"['Dennis Hopper', 'Alan Smithee', 'Alex Cox', 'Tod Davies', 'Jodie Foster', 'Dennis Hopper', 'Fred Ward']",5008276
1990,Taking Care of Business,14,"['Arthur Hiller', 'J.J. Abrams', 'James Belushi', 'Charles Grodin', 'Loryn Locklin', 'Stephen Elliott', 'Hctor Elizondo', 'Veronica Hamel', 'Mako', 'Gates McFadden', 'John de Lancie']",20005435
1990,Air America,35000000,"['Roger Spottiswoode', 'John Eskow', 'Richard Rush', 'Mel Gibson', 'Robert Downey Jr.', 'Nancy Travis', 'David Marshall Grant', 'Michael Dudikoff', 'Lane Smith']",31053601 (USA)
1990,Home Alone,18,"['Chris Columbus', 'Macaulay Culkin', 'Joe Pesci', 'Daniel Stern', 'John Heard', ""Catherine O'Hara""]",476684675
1990,Metropolitan,225000,"['Whit Stillman', 'Carolyn Farina', 'Taylor Nichols', 'Chris Eigeman', 'Allison Parisi']",2938208 (USA)
1990,White Hunter Black Heart,24,"['Clint Eastwood', 'Jeff Fahey', 'George Dzundza', 'Alun Armstrong', 'Marisa Berenson']",2
1990,Hardware,1.5 ),"['Richard Stanley', 'Dylan McDermott', 'Stacey Travis', 'John Lynch', 'William Hootkins', 'Iggy Pop']",5728953 (US)
1990,Rocky V,42,"['John G. Avildsen', 'Sylvester Stallone', 'Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Sage Stallone', 'Burgess Meredith', 'Tony Burton', 'Tommy Morrison']",119946358
1990,Postcards from the Edge,31,"['Mike Nichols', 'Carrie Fisher', 'Meryl Streep', 'Shirley MacLaine', 'Dennis Quaid', 'Gene Hackman', 'Rob Reiner']",39071603 (US)
1990,Back to the Future Part III,40,"['Robert Zemeckis', 'Michael J. Fox', 'Christopher Lloyd', 'Mary Steenburgen', 'Thomas F. Wilson', 'Lea Thompson']",244.5
1990,Nightbreed,11,"['Clive Barker', 'Craig Sheffer', 'Anne Bobby', 'David Cronenberg', 'Charles Haid', 'Hugh Quarshie', 'Doug Bradley']",8.9
1990,Robot Jox,10,"['Stuart Gordon', 'Gary Graham', 'Anne-Marie Johnson', 'Paul Koslo']",1272977
1991,JFK,40,"['Oliver Stone', 'Kevin Costner', 'Kevin Bacon', 'Tommy Lee Jones', 'Laurie Metcalf', 'Gary Oldman', 'Michael Rooker', 'Jay O. Sanders', 'Sissy Spacek']",205405498
1991,If Looks Could Kill,12,"['William Dear', 'Richard Grieco', 'Linda Hunt', 'Roger Rees', 'Gabrielle Anwar', 'Roger Daltrey']",7788597
1991,Regarding Henry,50,"['Mike Nichols', 'J. J. Abrams', 'Harrison Ford', 'Annette Bening', 'Bill Nunn']",43001500 (US)
1991,Barton Fink,9,"['Joel Coen\nEthan Coen', 'John Turturro', 'John Goodman']",6153939
1991,Hot Shots!,26,"['Jim Abrahams', 'Jim Abrahams', 'Pat Proft', 'Charlie Sheen', 'Cary Elwes', 'Valeria Golino', 'Lloyd Bridges', 'Jon Cryer', 'Kevin Dunn', 'Kristy Swanson', 'Bill Irwin']",181096164
1991,Backdraft,75,"['Ron Howard', 'Gregory Widen', 'Kurt Russell', 'William Baldwin', 'Scott Glenn', 'Jennifer Jason Leigh', 'Rebecca De Mornay', 'Donald Sutherland', 'Robert De Niro']",152368585
1991,Oscar,35,"['John Landis', 'Jim Mulholland', 'Sylvester Stallone', 'Marisa Tomei', 'Ornella Muti', 'Tim Curry', 'Chazz Palminteri']",23562716
1991,Toy Soldiers,10,"['Daniel Petrie, Jr.', 'David Koepp', 'Daniel Petrie, Jr.', 'Sean Astin', 'Wil Wheaton', 'Keith Coogan', 'Andrew Divoff', 'Mason Adams', 'Denholm Elliott', 'Louis Gossett, Jr.']",15073942 (US) (sub-total)
1991,A Rage in Harlem,8,"['Bill Duke', 'John Toles-Bey', 'Forest Whitaker', 'Gregory Hines', 'Robin Givens', 'Zakes Mokae', 'Danny Glover']",10.4  (USA)
1991,Mobsters,23,"['Nicholas Kazan', 'Christian Slater', 'Patrick Dempsey', 'Richard Grieco', 'Costas Mandylor', 'Michael Gambon', 'Anthony Quinn', 'Lara Flynn Boyle', 'F. Murray Abraham']",20246790
1991,The Silence of the Lambs,19,"['Jonathan Demme', 'Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine']",272.7
1991,The Rocketeer,42000000,"['Joe Johnston', 'Billy Campbell', 'Jennifer Connelly', 'Alan Arkin', 'Timothy Dalton', 'Paul Sorvino', 'Tiny Ron Taylor']",62000000
1991,Bugsy,30,"['Barry Levinson', 'Warren Beatty', 'Annette Bening']",49114016
1991,Doc Hollywood,17,"['Michael Caton-Jones', 'Jeffrey Price and Peter S. Seaman', 'Daniel Pyne', 'Michael J. Fox', 'Julie Warner', 'Woody Harrelson']",54830779
1991,Shattered,25,"['Wolfgang Petersen', 'Tom Berenger', 'Bob Hoskins', 'Greta Scacchi', 'Joanne Whalley', 'Corbin Bernsen']",11511031
1991,The Marrying Man,26,"['Jerry Rees', 'Neil Simon', 'Alec Baldwin', 'Kim Basinger', 'Robert Loggia', 'Elisabeth Shue', 'Paul Reiser', 'Fisher Stevens', 'Peter Dobson', 'Armand Assante']",12454768
1991,The Naked Gun 2: The Smell of Fear,23,"['David Zucker', 'Pat Proft', 'Leslie Nielsen', 'Priscilla Presley', 'George Kennedy', 'O.J. Simpson']",86930411
1991,The Indian Runner,7,"['Sean Penn', 'David Morse', 'Viggo Mortensen', 'Valeria Golino', 'Patricia Arquette', 'Jordan Rhodes', 'Dennis Hopper']",191125
1991,The Prince of Tides,30,"['Barbra Streisand', '[1]', 'Nick Nolte', 'Barbra Streisand', 'Blythe Danner', 'Kate Nelligan', 'Jeroen Krabb', 'Melinda Dillon', 'George Carlin', 'Jason Gould']",74787599
1991,Flight of the Intruder,35,"['John Milius', 'Robert Dillon', 'David Shaber', 'Danny Glover', 'Willem Dafoe', 'Brad Johnson', 'Rosanna Arquette', 'Tom Sizemore']",14587732
1991,"He Said, She Said",15,"['Ken Kwapis', 'Marisa Silver', 'Brian Hohlfeld', 'Kevin Bacon', 'Elizabeth Perkins', 'Nathan Lane', 'Sharon Stone', 'George Martin']",9804775
1991,The NeverEnding Story II: The Next Chapter,36 milion,"['George T. Miller', 'Jonathan Brandis', 'Kenny Morrison', 'Clarissa Burt', 'John Wesley Shipp', 'Alexandra Johnes', 'Thomas Hill']",17373527 (USA)
1991,My Own Private Idaho,2.5,"['Gus Van Sant', 'Keanu Reeves']",6401336
1991,Father of the Bride,20000000,"['Charles Shyer', 'Steve Martin', 'Diane Keaton', 'Kimberly Williams', 'Martin Short']",89325780
1991,New Jack City,8,"['Mario Van Peebles', 'Barry Michael Cooper', 'Wesley Snipes', 'Ice T', 'Allen Payne', 'Chris Rock', 'Judd Nelson', 'Russell Wong']",47624353 (domestic)
1991,At Play in the Fields of the Lord,36000000,"['Hctor Babenco', 'Tom Berenger', 'John Lithgow', 'Daryl Hannah', 'Aidan Quinn', 'Tom Waits', 'Kathy Bates']",1342903 (USA)
1991,Fried Green Tomatoes,11,"['Jon Avnet', 'Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker']",119418501
1991,Kafka,11000000,"['Steven Soderbergh', 'Lem Dobbs', 'Jeremy Irons', 'Theresa Russell', 'Joel Grey', 'Ian Holm', 'Jeroen Krabb', 'Armin Mueller-Stahl', 'Alec Guinness']",1059071
1991,The Doctor,12000000 (US),"['Randa Haines', 'William Hurt', 'Christine Lahti', 'Mandy Patinkin', 'Elizabeth Perkins']",38120905 (US)
