year,Movie_Name,Budget,Contributors,Revenue
2002,A Walk to Remember,11000000.0,"Adam Shankman, Nicholas Sparks, Shane West, M,y Moore",47494916
2002,The Emperor's Club,12500000.0,"Michael Hoffman, Kevin Kline",16318449
2002,The Tuxedo,60000000.0,"Jackie Chan, Jennifer Love Hewitt",104391623
2002,Stealing Harvard,25000000.0,"Bruce McCulloch, Martin Hynes, Peter Tolan, Jason Lee, Tom Green, Leslie Mann, Dennis Farina, Richard Jenkins, John C. McGinley, Tammy Blanchard, Megan Mullally",14277032
2002,Enough,38000000.0,"Michael Apted, Nicholas Kazan, Jennifer Lopez, Billy Campbell, Tessa Allen, Juliette Lewis, Dan Futterman, Noah Wyle, Fred Ward",51801187
2002,Brown Sugar,8000000.0,"Rick Famuyiwa, Taye Diggs, Sanaa Lathan, Mos Def, Nicole Ari Parker, Boris Kodjoe, Queen Latifah",28316451
2002,Scooby-Doo,84000000.0,"Raja Gosnell, Freddie Prinze Jr., Sarah Michelle Gellar, Linda Cardellini, Matthew Lillard, Rowan Atkinson",275700000.0
2002,Dragonfly,60000000.0,"Tom Shadyac, Kevin Costner, Joe Morton, Ron Rifkin, Linda Hunt, Kathy Bates",52322400
2002,S1MNE,10000000.0,"Andrew Niccol, Al Pacino, Catherine Keener, Evan Rachel Wood, Rachel Roberts, Jay Mohr, Winona Ryder",19576023
2002,Resident Evil,33000000.0,"Paul W. S. Anderson, Milla Jovovich, Michelle Rodriguez, Eric Mabius, James Purefoy, Martin Crewes, Colin Salmon",102441078
2002,Slackers,14000000.0,"Dewey Nicks, David H. Steinberg, Jason Schwartzman, Devon Sawa, Jason Segel, Michael Maronna, Jaime King, Laura Prepon",6413915
2002,The Transporter,21000000.0,"Louis Leterrier, Corey Yuen, Robert Mark Kamen, Jason Statham, Shu Qi, Franois Berl,, Matt Schulze",43928932
